Game,Model,Games Played,Games Won,Win Rate (%),Avg Reward
Connect Four,Meta-Llama-3.1-8B-Instruct-Turbo,2,2,100.00,1.000 ± 0.200
Connect Four,GPT-3.5-turbo,1,1,100.00,1.000 ± 0.200
Connect Four,kimi-k2-instruct,3,3,100.00,1.000 ± 0.200
Connect Four,llama-v3-8b-instruct,2,2,100.00,1.000 ± 0.200
Connect Four,o4-mini,2,2,100.00,1.000 ± 0.200
Connect Four,llama-v3-70b-instruct,2,2,100.00,1.000 ± 0.200
Connect Four,GPT-4-turbo,1,1,100.00,1.000 ± 0.200
Connect Four,Qwen3-32b,2,2,100.00,1.000 ± 0.200
Connect Four,Meta-Llama-3.1-70B-Instruct-Turbo,2,2,100.00,1.000 ± 0.200
Connect Four,Llama-3-70b-8192,10,9,90.00,0.800 ± 0.160
Connect Four,Gemma2-9b-it,9,8,88.89,0.778 ± 0.156
Connect Four,Llama-3-8b-8192,15,13,86.67,0.733 ± 0.147
Connect Four,GPT-4,7,6,85.71,0.714 ± 0.143
Connect Four,GPT-4-mini,5,4,80.00,0.600 ± 0.120
Connect Four,ai-mistralai-Mixtral-8x7B-Instruct-v0.1,10,8,80.00,0.600 ± 0.120
Connect Four,qwen3-235b-a22b-thinking-2507,3,2,66.67,0.333 ± 0.067
Connect Four,glm-4p5-air,8,3,37.50,-0.250 ± -0.050
Connect Four,llama-3.1-8b-instant,0,0,0.00,0.000 ± 0.000
Connect Four,llama-3.1-8b-instant,0,0,0.00,0.000 ± 0.000
Connect Four,Gemma-7b-it,0,0,0.00,0.000 ± 0.000
Connect Four,Qwen2-7B-Instruct,0,0,0.00,0.000 ± 0.000
Hex,Qwen3-32b,3,3,100.00,1.000 ± 0.200
Hex,Llama-3-8b-8192,18,10,55.56,0.389 ± 0.078
Hex,Llama-3-70b-8192,2,1,50.00,0.500 ± 0.100
Hex,Gemma2-9b-it,8,2,25.00,0.000 ± 0.000
Hex,Meta-Llama-3.1-8B-Instruct-Turbo,0,0,0.00,0.000 ± 0.000
Hex,GPT-3.5-turbo,0,0,0.00,0.000 ± 0.000
Hex,kimi-k2-instruct,1,0,0.00,0.000 ± 0.000
Hex,glm-4p5-air,5,0,0.00,0.000 ± 0.000
Hex,llama-v3-8b-instruct,0,0,0.00,0.000 ± 0.000
Hex,llama-3.1-8b-instant,0,0,0.00,0.000 ± 0.000
Hex,qwen3-235b-a22b-thinking-2507,1,0,0.00,0.000 ± 0.000
Hex,o4-mini,1,0,0.00,0.000 ± 0.000
Hex,llama-v3-70b-instruct,0,0,0.00,0.000 ± 0.000
Hex,GPT-4,4,0,0.00,0.000 ± 0.000
Hex,GPT-4-mini,2,0,0.00,0.000 ± 0.000
Hex,llama-3.1-8b-instant,0,0,0.00,0.000 ± 0.000
Hex,GPT-4-turbo,0,0,0.00,0.000 ± 0.000
Hex,Gemma-7b-it,0,0,0.00,0.000 ± 0.000
Hex,ai-mistralai-Mixtral-8x7B-Instruct-v0.1,4,0,0.00,-0.250 ± -0.050
Hex,Meta-Llama-3.1-70B-Instruct-Turbo,0,0,0.00,0.000 ± 0.000
Hex,Qwen2-7B-Instruct,0,0,0.00,0.000 ± 0.000
Kuhn Poker,Meta-Llama-3.1-8B-Instruct-Turbo,2,2,100.00,1.000 ± 0.200
Kuhn Poker,Llama-3-70b-8192,10,10,100.00,1.100 ± 0.220
Kuhn Poker,GPT-3.5-turbo,1,1,100.00,1.000 ± 0.200
Kuhn Poker,kimi-k2-instruct,3,3,100.00,1.000 ± 0.200
Kuhn Poker,llama-v3-8b-instruct,2,2,100.00,1.000 ± 0.200
Kuhn Poker,qwen3-235b-a22b-thinking-2507,5,5,100.00,1.000 ± 0.200
Kuhn Poker,o4-mini,2,2,100.00,1.000 ± 0.200
Kuhn Poker,llama-v3-70b-instruct,2,2,100.00,1.000 ± 0.200
Kuhn Poker,GPT-4,7,7,100.00,1.143 ± 0.229
Kuhn Poker,GPT-4-mini,5,5,100.00,1.200 ± 0.240
Kuhn Poker,llama-3.1-8b-instant,2,2,100.00,1.000 ± 0.200
Kuhn Poker,GPT-4-turbo,1,1,100.00,1.000 ± 0.200
Kuhn Poker,Qwen3-32b,2,2,100.00,1.000 ± 0.200
Kuhn Poker,Llama-3-8b-8192,18,18,100.00,1.056 ± 0.211
Kuhn Poker,Meta-Llama-3.1-70B-Instruct-Turbo,2,2,100.00,1.000 ± 0.200
Kuhn Poker,ai-mistralai-Mixtral-8x7B-Instruct-v0.1,10,8,80.00,0.600 ± 0.120
Kuhn Poker,Gemma2-9b-it,9,7,77.78,0.556 ± 0.111
Kuhn Poker,glm-4p5-air,8,6,75.00,0.500 ± 0.100
Kuhn Poker,llama-3.1-8b-instant,0,0,0.00,0.000 ± 0.000
Kuhn Poker,Gemma-7b-it,0,0,0.00,0.000 ± 0.000
Kuhn Poker,Qwen2-7B-Instruct,0,0,0.00,0.000 ± 0.000
Matching Pennies,glm-4p5-air,5,5,100.00,1.000 ± 0.200
Matching Pennies,Llama-3-70b-8192,5,4,80.00,0.600 ± 0.120
Matching Pennies,GPT-4,5,4,80.00,0.600 ± 0.120
Matching Pennies,GPT-4-mini,5,4,80.00,0.600 ± 0.120
Matching Pennies,Gemma2-9b-it,5,4,80.00,0.600 ± 0.120
Matching Pennies,Llama-3-8b-8192,10,7,70.00,0.400 ± 0.080
Matching Pennies,ai-mistralai-Mixtral-8x7B-Instruct-v0.1,5,3,60.00,0.200 ± 0.040
Matching Pennies,Meta-Llama-3.1-8B-Instruct-Turbo,0,0,0.00,0.000 ± 0.000
Matching Pennies,GPT-3.5-turbo,0,0,0.00,0.000 ± 0.000
Matching Pennies,kimi-k2-instruct,0,0,0.00,0.000 ± 0.000
Matching Pennies,llama-v3-8b-instruct,0,0,0.00,0.000 ± 0.000
Matching Pennies,llama-3.1-8b-instant,0,0,0.00,0.000 ± 0.000
Matching Pennies,qwen3-235b-a22b-thinking-2507,0,0,0.00,0.000 ± 0.000
Matching Pennies,o4-mini,0,0,0.00,0.000 ± 0.000
Matching Pennies,llama-v3-70b-instruct,0,0,0.00,0.000 ± 0.000
Matching Pennies,llama-3.1-8b-instant,0,0,0.00,0.000 ± 0.000
Matching Pennies,GPT-4-turbo,0,0,0.00,0.000 ± 0.000
Matching Pennies,Qwen3-32b,0,0,0.00,0.000 ± 0.000
Matching Pennies,Gemma-7b-it,0,0,0.00,0.000 ± 0.000
Matching Pennies,Meta-Llama-3.1-70B-Instruct-Turbo,0,0,0.00,0.000 ± 0.000
Matching Pennies,Qwen2-7B-Instruct,0,0,0.00,0.000 ± 0.000
Prisoner's Dilemma,Meta-Llama-3.1-8B-Instruct-Turbo,2,2,100.00,5.000 ± 1.000
Prisoner's Dilemma,Llama-3-70b-8192,9,9,100.00,9.000 ± 1.800
Prisoner's Dilemma,GPT-3.5-turbo,1,1,100.00,5.000 ± 1.000
Prisoner's Dilemma,kimi-k2-instruct,3,3,100.00,10.000 ± 2.000
Prisoner's Dilemma,glm-4p5-air,8,8,100.00,8.250 ± 1.650
Prisoner's Dilemma,llama-v3-8b-instruct,2,2,100.00,5.000 ± 1.000
