agent_name,Connect Four,Hex,Kuhn Poker,Matching Pennies,Prisoner's Dilemma,Rock Paper Scissors,Tic Tac Toe,Overall
Meta-Llama-3.1-70B-Instruct-Turbo,1.0,0.0,1.0,0.0,10.0,1.0,1.0,2.0
Llama-3-70b-8192,0.8,0.5,1.1,0.6,9.0,0.556,0.778,1.905
kimi-k2-instruct,1.0,0.0,1.0,0.0,10.0,0.0,1.0,1.857
GPT-4-turbo,1.0,0.0,1.0,0.0,10.0,-1.0,1.0,1.714
GPT-4,0.714,0.0,1.143,0.6,8.714,-0.286,0.857,1.678
glm-4p5-air,-0.25,0.0,0.5,1.0,8.25,0.125,1.0,1.518
Gemma2-9b-it,0.778,0.0,0.556,0.6,7.333,-0.444,0.556,1.34
GPT-3.5-turbo,1.0,0.0,1.0,0.0,5.0,1.0,1.0,1.286
Qwen3-32b,1.0,1.0,1.0,0.0,5.0,0.0,1.0,1.286
GPT-4-mini,0.6,0.0,1.2,0.6,5.2,-0.4,1.0,1.171
o4-mini,1.0,0.0,1.0,0.0,5.0,0.0,1.0,1.143
llama-v3-8b-instruct,1.0,0.0,1.0,0.0,5.0,0.0,1.0,1.143
llama-v3-70b-instruct,1.0,0.0,1.0,0.0,5.0,0.0,1.0,1.143
qwen3-235b-a22b-thinking-2507,0.333,0.0,1.0,0.0,5.0,0.667,1.0,1.143
Llama-3-8b-8192,0.733,0.389,1.056,0.4,4.615,-0.615,0.949,1.075
Meta-Llama-3.1-8B-Instruct-Turbo,1.0,0.0,1.0,0.0,5.0,-0.5,1.0,1.071
ai-mistralai-Mixtral-8x7B-Instruct-v0.1,0.6,-0.25,0.6,0.2,5.1,-0.6,0.0,0.807
Gemma-7b-it,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.143
llama-3.1-8b-instant,0.0,0.0,0.5,0.0,0.0,0.0,0.357,0.122
Qwen2-7B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.143
